Name,Country,Gender,Flights,Total.Flights,Total.Flight.Time,Birth.Year,Military,Selection.Group,Selection.Year,Lifetime.Statistics.Mission.count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Vechicles.Orbit,Vechicles.Decent,Durations.Mission.duration,Lifetime.Statistics.Mission.duration,Mission.Durations.EVA.duration,Lifetime.Statistics.EVA.duration,Status,Birth_Place,Undergraduate_Major,Graduate_Major,Military.Rank,Military.Branch,Space.Flights,Space.Flight..hr.,Space.Walks,Space.Walks..hr.,Missions,Death_Date,Death_Mission,undg_area,Gender_prop,total_duration,nat_total_flight,first_edu,second_edu,birth_city,grad_area,Birth_Month,Birth_Day,Selection_Age,Mission_Age
Pavel Popovich,Soviet Union,Male,"Vostok 4 (1962), Soyuz 14 (1974)",2,018:16:26,1930,TRUE,TsPK-1,1960,2,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,448.45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,30,32
Pavel Popovich,Soviet Union,Male,"Vostok 4 (1962), Soyuz 14 (1974)",2,018:16:26,1930,TRUE,TsPK-2,1960,2,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377,448.45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,30,44
Jean-Pierre Haigner,NA,Other,NA,NA,NA,1948,TRUE,CNES-2/EAC,1985,2,MSP,1993,Soyuz TM-17 / Soyuz TM-16,Soyuz TM-17,Soyuz TM-17,Soyuz TM-16,496,5028,6.32,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,37,45
Jean-Pierre Haigner,NA,Other,NA,NA,NA,1948,TRUE,CNES-2/EAC,1985,2,flight engineer,1999,27,Soyuz TM-29,Mir,Soyuz TM-29,4532,5028,0,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,37,51
Roverto Vittori,NA,Other,NA,NA,NA,1964,TRUE,1998 ESA Group,1998,3,flight engineer,2002,Soyuz TMA-34/TM-33,Soyuz TMA-34,Soyuz TMA-34,Soyuz TMA-33,237,851.65,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,38
Roverto Vittori,NA,Other,NA,NA,NA,1964,TRUE,1998 ESA Group,1998,3,flight engineer,2005,Soyuz TMA-6/TMA-5,Soyuz TMA-6,Soyuz TMA-6,Soyuz TMA-5,237,851.65,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,41
Roverto Vittori,NA,Other,NA,NA,NA,1964,TRUE,1998 ESA Group,1998,3,MSP,2011,STS-134,STS-134,STS-134,STS-134,377.65,851.65,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,47
Zhigang Zhai,NA,Other,NA,NA,NA,1966,TRUE,China-1,2008,1,commander,2008,Shenzhou 7,Shenzhou 7,Shenzhou 7,Shenzhou 7,68,68,0.23,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,42,42
Paolo A. Nespoli,Italy,Male,"STS-120 (2007), Soyuz TMA-20 (2010), Soyuz MS-05 (2017)",3,313:02:37,1957,TRUE,1998 ESA Group,1998,3,MSP,2007,STS-120,STS-120,STS-120,STS-120,362.4,7514.61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,41,50
Paolo A. Nespoli,Italy,Male,"STS-120 (2007), Soyuz TMA-20 (2010), Soyuz MS-05 (2017)",3,313:02:37,1957,TRUE,1998 ESA Group,1998,3,flight engineer,2010,26,Soyuz TMA-20,ISS,Soyuz TMA-20,3823.28,7514.61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,41,53
