Name,Country,Gender,Flights,Total.Flights,Total.Flight.Time,Birth.Year,Military,Selection.Group,Selection.Year,Lifetime.Statistics.Mission.count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Vechicles.Orbit,Vechicles.Decent,Durations.Mission.duration,Lifetime.Statistics.Mission.duration,Mission.Durations.EVA.duration,Lifetime.Statistics.EVA.duration,Status,Birth_Place,Undergraduate_Major,Graduate_Major,Military.Rank,Military.Branch,Space.Flights,Space.Flight..hr.,Space.Walks,Space.Walks..hr.,Missions,Death_Date,Death_Mission,undg_area,Gender_prop,total_duration,nat_total_flight,first_edu,second_edu,birth_city,grad_area,Birth_Month,Birth_Day,Selection_Age,Mission_Age
Jeffrey A. Hoffman,NA,Other,NA,NA,NA,1944,TRUE,NASA- 8,1978,5,MSP,1996,STS-75,STS-75,STS-75,STS-75,377,1211.9,0,25.2,Retired,"Brooklyn, NY",Astronomy,Materials Science; Astrophysics,,,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,,Astronomy / Space Science,0.052322163,3780028.675,2186,Amherst College, Rice University,Brooklyn,Materials Engineering,11,2,34,52
Boris Morukov,Russia,Male,STS-106 (2000),1,010:19:10,1950,TRUE,IMBP-5,1989,1,Flight engineer,2000,STS106,STS106,STS106,STS106,283,283.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,39,50
Edwin Jacob Garn,NA,Other,NA,NA,NA,1932,TRUE,PS,1985,1,PSP,1985,STS-51D,STS-51D,STS-51D,STS-51D,168.15,168.15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,53,53
Yuri Lonchakov,Russia,Male,"STS-100 (2001), Soyuz TMA-1 (2002), Soyuz TMA-13 (2008)",3,200:18:39,1965,TRUE,TsPK-12,1997,3,MSP,2001,STS100,STS100,STS100,STS100,285,4818.65,0,10.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,36
Yuri Lonchakov,Russia,Male,"STS-100 (2001), Soyuz TMA-1 (2002), Soyuz TMA-13 (2008)",3,200:18:39,1965,TRUE,TsPK-12,1997,3,flight engineer,2002,Soyuz TMA1/TM34,Soyuz TMA1,Soyuz TMA1,Soyuz TM34,260,4818.65,0,10.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,37
Yuri Lonchakov,Russia,Male,"STS-100 (2001), Soyuz TMA-1 (2002), Soyuz TMA-13 (2008)",3,200:18:39,1965,TRUE,TsPK-12,1997,3,commander,2008,18,Soyuz TMA13,ISS,Soyuz TMA13,4272,4818.65,10.28,10.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,43
Frederick D. Gregory,NA,Other,NA,NA,NA,1941,TRUE,NASA Astronaut Group 8,1978,3,pilot,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168,455,0,0,Retired,"Washington, DC",,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,,Unknown / Missing,0.052322163,3780028.675,2186,US Air Force Academy, George Washington University,Washington,Computer Science / Information Systems,1,7,37,44
Frederick D. Gregory,NA,Other,NA,NA,NA,1941,TRUE,NASA Astronaut Group 8,1978,3,commander,1989,STS-33,STS-33,STS-33,STS-33,120,455,0,0,Retired,"Washington, DC",,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,,Unknown / Missing,0.052322163,3780028.675,2186,US Air Force Academy, George Washington University,Washington,Computer Science / Information Systems,1,7,37,48
Frederick D. Gregory,NA,Other,NA,NA,NA,1941,TRUE,NASA Astronaut Group 8,1978,3,commander,1991,STS-44,STS-44,STS-44,STS-44,166,455,0,0,Retired,"Washington, DC",,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,,Unknown / Missing,0.052322163,3780028.675,2186,US Air Force Academy, George Washington University,Washington,Computer Science / Information Systems,1,7,37,50
Mikhail Tyurin,Russia,Male,"STS-105 (2001), Soyuz TMA-9 (2006), Soyuz TMA-11M (2013)",3,532:02:52,1960,TRUE,NPOE-11,1994,3,flight engineer,2001,3,STS105,ISS,STS108,3092,12770.85,13.58,25.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,41
Mikhail Tyurin,Russia,Male,"STS-105 (2001), Soyuz TMA-9 (2006), Soyuz TMA-11M (2013)",3,532:02:52,1960,TRUE,NPOE-11,1994,3,flight engineer,2006,14,Soyuz TMA9,ISS,Soyuz TMA9,5168,12770.85,11.93,25.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,46
Mikhail Tyurin,Russia,Male,"STS-105 (2001), Soyuz TMA-9 (2006), Soyuz TMA-11M (2013)",3,532:02:52,1960,TRUE,NPOE-11,1994,3,commander,2013,38,Soyuz TMA11M,ISS,Soyuz TMA11M,4509,12770.85,0,25.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,53
Don L. Lind,NA,Other,NA,NA,NA,1930,TRUE,NASA- 5,1966,1,MSP,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168,168,0,0,Retired,"Midvale, UT",Physics,Nuclear Physics,,,1,168,0,0,STS 51-B (Challenger),,,Computer Science,0.052322163,3780028.675,2186,University of Utah, University of California-Berkley,Midvale,Physics / Astronomy / Space Sciences,5,18,36,55
Konstantin Kozeyev,Russia,Male,Soyuz TM-33 (2001),1,009:20:00,1967,TRUE,RKKE-12,1996,1,flight engineer,2001,Soyuz TM33/32,Soyuz TM33,Soyuz TM33,Soyuz TM32,235,235.98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,34
van der Berg Lodewijk,NA,Other,NA,NA,NA,1932,TRUE,PS,1983,1,PSP,1985,Spacelab-3,STS-51-B,STS-51-B,STS-51-B,168.525,168.525,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,51,53
Sergei Treshchov,Russia,Male,STS-111 (2002),1,184:22:15,1958,TRUE,NPOE-10,1992,1,flight engineer,2002,5,STS111,ISS,STS113,4438,4438.25,5.35,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,44
Taylor Gun-Jin Wang,NA,Other,NA,NA,NA,1940,TRUE,Spacelab-3 mission payload specialist,1984,1,PSP,1985,spacelab-3,STS-51B,STS-51B,STS-51B,168.525,168.525,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,44,45
Fyodor Yurchikhin,Russia,Male,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,1959,TRUE,RKKE-14,1997,5,MSP,2002,STS112,STS112,STS112,STS112,259,16147,0,59.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,43
Fyodor Yurchikhin,Russia,Male,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,1959,TRUE,RKKE-14,1997,5,flight engineer,2007,15,Soyuz TMA10,ISS,Soyuz TMA10,4721,16147,18.73,59.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,48
Fyodor Yurchikhin,Russia,Male,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,1959,TRUE,RKKE-14,1997,5,commander,2010,24,Soyuz TMA19,ISS,Soyuz TMA19,3919,16147,13.17,59.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,51
Fyodor Yurchikhin,Russia,Male,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,1959,TRUE,RKKE-14,1997,5,commander,2013,36,Soyuz TMA09M,ISS,Soyuz TMA09M,3990,16147,20.03,59.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,54
Fyodor Yurchikhin,Russia,Male,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,1959,TRUE,RKKE-14,1997,5,commander,2017,51,Soyuz MS-04,ISS,Soyuz MS-04,3258,16147,7.5,59.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,58
John O. Creighton,United States,Male,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,1943,TRUE,NASA- 8,1978,3,pilot,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,170,404,0,0,Retired,"Orange, TX",,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,,Unknown / Missing,0.052322163,3780028.675,2186,US Naval Academy, George Washington University,Orange,Business / Management,4,28,35,42
John O. Creighton,United States,Male,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,1943,TRUE,NASA- 8,1978,3,commander,1990,STS-36,STS-36,STS-36,STS-36,106,404,0,0,Retired,"Orange, TX",,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,,Unknown / Missing,0.052322163,3780028.675,2186,US Naval Academy, George Washington University,Orange,Business / Management,4,28,35,47
John O. Creighton,United States,Male,"STS-51-G (1985), STS-36 (1990), STS-48 (1991)",3,016:20:24,1943,TRUE,NASA- 8,1978,3,commander,1991,STS-48,STS-48,STS-48,STS-48,128,404,0,0,Retired,"Orange, TX",,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,,Unknown / Missing,0.052322163,3780028.675,2186,US Naval Academy, George Washington University,Orange,Business / Management,4,28,35,48
Steven R. Nagel,United States,Male,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,1946,TRUE,NASA-8,1978,4,MSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,170,522,0,0,Retired,"Canton, IL",Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,,Aerospace Engineering,0.052322163,3780028.675,2186,University of Illinois, California State University-Fresno,Canton,Mechanical Engineering,10,27,32,39
Steven R. Nagel,United States,Male,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,1946,TRUE,NASA-8,1978,4,pilot,1985,STS-61A,STS-61A,STS-61A,STS-61A,169,522,0,0,Retired,"Canton, IL",Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,,Aerospace Engineering,0.052322163,3780028.675,2186,University of Illinois, California State University-Fresno,Canton,Mechanical Engineering,10,27,32,39
Steven R. Nagel,United States,Male,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,1946,TRUE,NASA-8,1978,4,commander,1991,STS-37,STS-37,STS-37,STS-37,143,522,0,0,Retired,"Canton, IL",Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,,Aerospace Engineering,0.052322163,3780028.675,2186,University of Illinois, California State University-Fresno,Canton,Mechanical Engineering,10,27,32,45
Steven R. Nagel,United States,Male,"STS-51-G (1985), STS-61-A (1985), STS-37 (1991), STS-55 (1993)",4,030:01:36,1946,TRUE,NASA-8,1978,4,commander,1993,STS-55,STS-55,STS-55,STS-55,240,522,0,0,Retired,"Canton, IL",Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,,Aerospace Engineering,0.052322163,3780028.675,2186,University of Illinois, California State University-Fresno,Canton,Mechanical Engineering,10,27,32,47
Yuri Shargin,Russia,Male,Soyuz TMA-5 (2004),1,009:21:29,1960,TRUE,MKS,1996,1,flight engineer,2004,Soyuz TMA5,Soyuz TMA5,Soyuz TMA5,Soyuz TMA5,237,237.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,36,44
Oleg Kotov,Russia,Male,"Soyuz TMA-10 (2007), Soyuz TMA-17 (2009), Soyuz TMA-10M (2013)",3,526:05:03,1965,TRUE,MKS,1996,3,commander,2007,15,Soyuz TMA10,ISS,Soyuz TMA10,4721,12629.03,11.05,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,42
Oleg Kotov,Russia,Male,"Soyuz TMA-10 (2007), Soyuz TMA-17 (2009), Soyuz TMA-10M (2013)",3,526:05:03,1965,TRUE,MKS,1996,3,commander,2009,22,Soyuz TMA17,ISS,Soyuz TMA17,3917,12629.03,5.73,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,44
Oleg Kotov,Russia,Male,"Soyuz TMA-10 (2007), Soyuz TMA-17 (2009), Soyuz TMA-10M (2013)",3,526:05:03,1965,TRUE,MKS,1996,3,commander,2013,37,Soyuz TMA10M,ISS,Soyuz TMA10M,3990,12629.03,19.92,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,48
Shannon W. Lucid,NA,Other,NA,NA,NA,1943,TRUE,NASA- 8,1978,5,MSP,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,169,5353,0,0,Retired,"Shanghai, China",Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,,Chemistry,0.052322163,3780028.675,2186,University of Oklahoma,NA,Shanghai,Chemistry / Biochemistry,1,14,35,42
Shannon W. Lucid,NA,Other,NA,NA,NA,1943,TRUE,NASA- 8,1978,5,MSP,1989,STS-34,STS-34,STS-34,STS-34,119,5353,0,0,Retired,"Shanghai, China",Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,,Chemistry,0.052322163,3780028.675,2186,University of Oklahoma,NA,Shanghai,Chemistry / Biochemistry,1,14,35,46
Shannon W. Lucid,NA,Other,NA,NA,NA,1943,TRUE,NASA- 8,1978,5,MSP,1991,STS-43,STS-43,STS-43,STS-43,213,5353,0,0,Retired,"Shanghai, China",Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,,Chemistry,0.052322163,3780028.675,2186,University of Oklahoma,NA,Shanghai,Chemistry / Biochemistry,1,14,35,48
Shannon W. Lucid,NA,Other,NA,NA,NA,1943,TRUE,NASA- 8,1978,5,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,5353,0,0,Retired,"Shanghai, China",Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,,Chemistry,0.052322163,3780028.675,2186,University of Oklahoma,NA,Shanghai,Chemistry / Biochemistry,1,14,35,50
Shannon W. Lucid,NA,Other,NA,NA,NA,1943,TRUE,NASA- 8,1978,5,MSP,1996,22,STS-79,Mir,STS-76,4516,5353,0,0,Retired,"Shanghai, China",Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,,Chemistry,0.052322163,3780028.675,2186,University of Oklahoma,NA,Shanghai,Chemistry / Biochemistry,1,14,35,53
Roy D. Bridges,NA,Other,NA,NA,NA,1943,TRUE,NASA- 9,1980,1,pilot,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,190,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,37,42
Sergei Volkov,NA,Other,NA,NA,NA,1973,TRUE,TsPK-12,1997,3,commander,2008,17,Soyuz TMA12,ISS,Soyuz TMA12,4768,12786.32,12.2,23.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,24,35
Sergei Volkov,NA,Other,NA,NA,NA,1973,TRUE,TsPK-12,1997,3,commander,2011,28,Soyuz TMA02M,ISS,Soyuz TMA02M,4014,12786.32,6.367,23.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,24,38
Sergei Volkov,NA,Other,NA,NA,NA,1973,TRUE,TsPK-12,1997,3,commander,2015,45,Soyuz TMA18M,ISS,Soyuz TMA18M,4003,12786.32,4.72,23.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,24,42
Karl G. Henize,NA,Other,NA,NA,NA,1926,TRUE,NASA- 6,1967,1,MSP,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,190.75,0,0,Deceased,"Cincinnati, OH",Mathematics,Astronomy,,,1,190,0,0,STS 51-F (Challenger),10/5/1993,,Computer Science,0.052322163,3780028.675,2186,University of Virginia, University of Michigan,Cincinnati,Physics / Astronomy / Space Sciences,10,17,41,59
Oleg D. Kononenko,NA,Other,NA,NA,NA,1964,TRUE,MKS,1996,4,flight engineer,2008,17,Soyuz TMA12,ISS,Soyuz TMA12,3168,16081,12.2,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,44
Oleg D. Kononenko,NA,Other,NA,NA,NA,1964,TRUE,MKS,1996,4,commander,2011,30,Soyuz TMA03M,ISS,Soyuz TMA03M,4626,16081,6.25,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,47
Oleg D. Kononenko,NA,Other,NA,NA,NA,1964,TRUE,MKS,1996,4,commander,2015,44,Soyuz TMA17M,ISS,Soyuz TMA17M,3400,16081,0,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,51
Oleg D. Kononenko,NA,Other,NA,NA,NA,1964,TRUE,MKS,1996,4,commander,2018,57,Soyuz MS-11,ISS,Soyuz MS-11,4887,16081,13.75,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,54
Anthony W. England,United States,Male,STS-51-F (1985),1,007:22:45,1942,TRUE,NASA- 6,1967,1,MSP,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,190,0,0,Retired,"Indianapolis, IN",Geology,Geology; Geophysics,,,1,190,0,0,STS 51-F (Challenger),,,Earth & Planetary / Geosciences,0.052322163,3780028.675,2186,MIT,NA,Indianapolis,Physics / Astronomy / Space Sciences,5,15,25,43
Roman Romanenko,Russia,Male,"Soyuz TMA-15 (2009), Soyuz TMA-07M (2012)",2,333:11:00,1971,TRUE,TsPK-12,1997,2,flight engineer,2009,20,Soyuz TMA15,ISS,Soyuz TMA15,4508,8003.02,0,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,38
Roman Romanenko,Russia,Male,"Soyuz TMA-15 (2009), Soyuz TMA-07M (2012)",2,333:11:00,1971,TRUE,TsPK-12,1997,2,flight engineer,2012,34,Soyuz TMA07M,ISS,Soyuz TMA07M,3494,8003.02,6.62,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,41
Maksim Surayev,Russia,Male,"Soyuz TMA-16 (2009), Soyuz TMA-13M (2014)",2,334:12:09,1972,TRUE,TsPK-12,1997,2,commander,2014,40,Soyuz TMA13M,ISS,Soyuz TMA13M,3968,8028.18,3.68,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,25,42
Maksim Surayev,Russia,Male,"Soyuz TMA-16 (2009), Soyuz TMA-13M (2014)",2,334:12:09,1972,TRUE,TsPK-12,1997,2,commander,2009,21,Soyuz TMA16,ISS,Soyuz TMA16,4060,8028.18,5.73,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,25,37
Loren Wilbur Acton,NA,Other,NA,NA,NA,1936,TRUE,PS for Spacelab-2,1978,1,PSP,1978,Spacelab-2,STS-51-F,STS-51-F,STS-51-F,190.94,190.94,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,42,42
John-David Francis Bartoe,NA,Other,NA,NA,NA,1944,TRUE,PS for Spacelab-2,1978,1,PSP,1978,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190.94,190.94,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,34
Aleksandr Jr. Skvortsov,NA,Other,NA,NA,NA,1966,TRUE,TsPK-12,1997,3,commander,2010,23,Soyuz TMA18,ISS,Soyuz TMA18,4225,12588.98,0,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,44
Aleksandr Jr. Skvortsov,NA,Other,NA,NA,NA,1966,TRUE,TsPK-12,1997,3,commander,2014,39,Soyuz TMA12M,ISS,Soyuz TMA12M,4061,12588.98,12.67,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,48
Aleksandr Jr. Skvortsov,NA,Other,NA,NA,NA,1966,TRUE,TsPK-12,1997,3,commander,2019,60,Soyuz MS-13,ISS,not completed yet,4302.98,12588.98,0,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,53
Mikhail Korniyenko,Russia,Male,"Soyuz TMA-18 (2010), Soyuz TMA-16M (2015)",2,516:10:01,1960,TRUE,RKKE-14,1998,2,flight engineer,2010,23,Soyuz TMA18,ISS,Soyuz TMA18,4225,12005.43,6.72,12.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,50
Mikhail Korniyenko,Russia,Male,"Soyuz TMA-18 (2010), Soyuz TMA-16M (2015)",2,516:10:01,1960,TRUE,RKKE-14,1998,2,flight engineer,2015,43,Soyuz TMA16M,ISS,Soyuz TMA18M,7798,12005.43,5.57,12.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,55
Richard O. Covey,United States,Male,"STS-51-I (1985), STS-26 (1988), STS-38 (1990), STS-61 (1993)",4,026:21:10,1946,TRUE,NASA- 8,1978,4,pilot,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,645,0,0,Retired,"Fayetteville, AR",Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,,Engineering Science / Applied Engineering,0.052322163,3780028.675,2186,US Air Force Academy, Purdue University,Fayetteville,Aerospace / Astronautics / Aviation,8,1,32,39
